KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,NN_mult,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,-0.15384615384615385,-0.19230769230769232,-0.4230769230769231,-0.19230769230769232,-0.07692307692307693,-0.38461538461538464,-0.34615384615384615,-1.2307692307692308
0.0,0.0,-0.16,-0.24,0.0,-0.04,-0.24,-0.24,-0.6
0.0,0.0,-0.09090909090909091,-0.7727272727272727,-0.18181818181818182,0.0,-0.7272727272727273,-0.09090909090909091,-0.4090909090909091
0.0,-0.05,0.0,-0.05,-0.05,0.0,-0.1,0.0,-1.8
0.0,0.0,0.0,-0.4,-0.4,-0.4,-0.4,0.0,-0.55
0.0,0.0,0.0,-0.25,0.0,0.0,-0.25,-0.25,-1.5833333333333333
0.0,0.0,-0.5,-0.3333333333333333,0.0,0.0,-0.2777777777777778,-0.7222222222222222,-0.3333333333333333
0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,-0.07142857142857142,-0.07142857142857142,-0.6428571428571429
0.0,0.0,-0.14285714285714285,-0.22857142857142856,0.0,-0.08571428571428572,-0.22857142857142856,-0.22857142857142856,-0.22857142857142856
0.0,0.0,0.0,0.0,0.0,-0.1111111111111111,-0.3888888888888889,0.0,-0.5
0.0,0.0,0.0,-0.36363636363636365,0.0,-0.2727272727272727,-0.5454545454545454,-0.30303030303030304,-0.2727272727272727
0.0,0.0,0.0,-0.5,0.0,0.0,-0.5,-0.5,-0.5
-0.041666666666666664,-0.20833333333333334,-0.20833333333333334,-0.7083333333333334,-0.4166666666666667,-0.20833333333333334,-0.5,-0.4166666666666667,-1.1666666666666667
-0.14285714285714285,0.0,-0.39285714285714285,0.0,0.0,-0.21428571428571427,-0.2857142857142857,-0.42857142857142855,-1.0714285714285714
0.0,-0.15,-0.15,-0.15,0.0,-0.15,-0.15,-0.15,-1.6
0.0,0.0,-0.07692307692307693,-0.2692307692307692,-0.15384615384615385,-0.07692307692307693,-0.07692307692307693,-0.15384615384615385,-0.6538461538461539
0.0,0.0,-0.2,-0.55,-0.1,-0.5,-0.55,0.0,-0.65
0.0,-0.047619047619047616,-0.047619047619047616,-0.23809523809523808,0.0,-0.23809523809523808,0.0,-0.047619047619047616,-0.8095238095238095
0.0,-0.043478260869565216,-0.08695652173913043,-0.13043478260869565,-0.13043478260869565,0.0,-0.13043478260869565,-0.043478260869565216,-1.0
0.0,0.0,0.0,-0.2857142857142857,-0.21428571428571427,0.0,-0.2857142857142857,-0.21428571428571427,-1.9285714285714286
0.0,0.0,-0.2,0.0,0.0,-0.05,-0.35,-0.4,-0.8
0.0,-0.05,-0.25,-0.2,0.0,0.0,-0.25,-0.2,-1.45
0.0,0.0,0.0,-0.06896551724137931,0.0,-0.1724137931034483,-0.06896551724137931,-0.06896551724137931,-0.5517241379310345
0.0,-0.045454545454545456,-0.09090909090909091,-0.2727272727272727,-0.18181818181818182,-0.045454545454545456,-0.36363636363636365,-0.09090909090909091,-0.18181818181818182
0.0,0.0,-0.2962962962962963,-0.37037037037037035,0.0,-0.2962962962962963,-0.2962962962962963,-0.37037037037037035,-0.7777777777777778
0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.14285714285714285,-0.7142857142857143,-0.5
0.0,0.0,0.0,-0.7142857142857143,0.0,0.0,-0.7142857142857143,-0.14285714285714285,-2.0714285714285716
0.0,0.0,0.0,0.0,0.0,0.0,-0.7333333333333333,-0.26666666666666666,-1.2
0.0,0.0,-0.22727272727272727,-0.5,0.0,0.0,-0.5,-0.5,-1.0909090909090908
0.0,0.0,0.0,-0.16666666666666666,0.0,0.0,-0.16666666666666666,-0.16666666666666666,-0.1111111111111111
